City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
64,Togur,RU,2021-04-20 04:24:42,58.3631,82.8265,15.57,78,100,12.3,[{'description': 'overcast clouds'}]
65,Yellowknife,CA,2021-04-20 04:23:11,62.456,-114.3525,28.4,80,20,9.22,[{'description': 'few clouds'}]
66,Rikitea,PF,2021-04-20 04:19:21,-23.1203,-134.9692,78.24,70,5,7.74,[{'description': 'clear sky'}]
67,Xai-Xai,MZ,2021-04-20 04:26:42,-25.0519,33.6442,67.28,80,9,3.36,[{'description': 'clear sky'}]
68,Bathsheba,BB,2021-04-20 04:24:52,13.2167,-59.5167,78.8,61,20,19.57,[{'description': 'few clouds'}]
69,Chuy,UY,2021-04-20 04:19:18,-33.6971,-53.4616,65.43,79,2,10.47,[{'description': 'clear sky'}]
70,Oum Hadjer,TD,2021-04-20 04:26:42,13.2954,19.6966,82.96,10,6,3.91,[{'description': 'clear sky'}]
71,Tuktoyaktuk,CA,2021-04-20 04:19:49,69.4541,-133.0374,21.2,93,75,12.66,[{'description': 'broken clouds'}]
72,College,US,2021-04-20 04:25:06,64.8569,-147.8028,57.2,37,20,8.05,[{'description': 'few clouds'}]
73,Nang Rong,TH,2021-04-20 04:26:43,14.6377,102.7914,87.8,89,40,4.61,[{'description': 'scattered clouds'}]
74,Biak,ID,2021-04-20 04:26:43,-0.9131,122.8766,82.42,67,100,1.05,[{'description': 'overcast clouds'}]
75,Bredasdorp,ZA,2021-04-20 04:22:08,-34.5322,20.0403,57.2,88,28,12.66,[{'description': 'scattered clouds'}]
76,Manokwari,ID,2021-04-20 04:26:43,-0.8667,134.0833,79.11,82,100,6.08,[{'description': 'light rain'}]
77,Bayji,IQ,2021-04-20 04:26:44,34.9311,43.487,83.19,25,100,3.53,[{'description': 'overcast clouds'}]
78,Jhabua,IN,2021-04-20 04:26:44,22.7667,74.6,88.72,32,95,10.87,[{'description': 'overcast clouds'}]
79,Kandara,IN,2021-04-20 04:26:44,25.7191,73.2765,89.1,31,100,14.5,[{'description': 'overcast clouds'}]
80,Klaksvik,FO,2021-04-20 04:24:17,62.2266,-6.589,39.2,81,40,20.71,[{'description': 'scattered clouds'}]
81,Grand Forks,US,2021-04-20 04:24:41,47.9417,-97.4337,25.0,68,1,6.91,[{'description': 'clear sky'}]
82,Severo-Yeniseyskiy,RU,2021-04-20 04:26:45,60.3725,93.0408,13.95,90,100,12.01,[{'description': 'light snow'}]
83,New Norfolk,AU,2021-04-20 04:22:15,-42.7826,147.0587,52.0,68,100,3.0,[{'description': 'light rain'}]
84,Atuona,PF,2021-04-20 04:22:05,-9.8,-139.0333,80.56,74,12,18.43,[{'description': 'few clouds'}]
85,Vanimo,PG,2021-04-20 04:24:30,-2.6741,141.3028,86.25,61,32,8.57,[{'description': 'scattered clouds'}]
86,Lagoa,PT,2021-04-20 04:25:07,39.05,-27.9833,61.66,88,100,14.14,[{'description': 'overcast clouds'}]
87,Busselton,AU,2021-04-20 04:22:03,-33.65,115.3333,68.4,56,77,2.98,[{'description': 'broken clouds'}]
88,Bull Savanna,JM,2021-04-20 04:25:11,17.8868,-77.5902,73.49,87,35,13.13,[{'description': 'scattered clouds'}]
89,Hermanus,ZA,2021-04-20 04:22:00,-34.4187,19.2345,60.01,79,16,8.99,[{'description': 'few clouds'}]
90,Kodiak,US,2021-04-20 04:22:45,57.79,-152.4072,41.0,93,90,13.8,"[{'description': 'light rain'}, {'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]"
91,Mataura,NZ,2021-04-20 04:22:11,-46.1927,168.8643,64.99,59,17,5.01,[{'description': 'few clouds'}]
92,Xining,CN,2021-04-20 04:26:46,36.6167,101.7667,47.66,45,100,3.53,[{'description': 'overcast clouds'}]
93,Nsanje,MW,2021-04-20 04:26:46,-16.92,35.262,69.03,90,100,3.0,[{'description': 'overcast clouds'}]
94,Tiksi,RU,2021-04-20 04:23:17,71.6872,128.8694,7.97,92,98,4.81,[{'description': 'overcast clouds'}]
95,Misratah,LY,2021-04-20 04:23:11,32.3754,15.0925,56.95,57,0,1.28,[{'description': 'clear sky'}]
96,Mar Del Plata,AR,2021-04-20 04:22:27,-38.0023,-57.5575,66.99,88,0,10.36,[{'description': 'clear sky'}]
97,Port Elizabeth,ZA,2021-04-20 04:20:14,-33.918,25.5701,62.6,82,75,13.8,[{'description': 'broken clouds'}]
98,Aksarka,RU,2021-04-20 04:25:09,66.5606,67.7975,31.86,98,100,7.07,[{'description': 'light snow'}]
99,Huarmey,PE,2021-04-20 04:26:47,-10.0681,-78.1522,69.13,82,90,7.45,[{'description': 'overcast clouds'}]
100,Cayenne,GF,2021-04-20 04:23:44,4.9333,-52.3333,75.2,94,75,3.44,[{'description': 'broken clouds'}]
101,Cockburn Town,TC,2021-04-20 04:23:30,21.4612,-71.1419,78.67,84,0,16.71,[{'description': 'clear sky'}]
102,Santa Fe,AR,2021-04-20 04:22:50,-31.6333,-60.7,69.01,76,0,1.99,[{'description': 'clear sky'}]
103,Thompson,CA,2021-04-20 04:22:41,55.7435,-97.8558,23.0,63,90,4.61,[{'description': 'light snow'}]
104,Kamiichi,JP,2021-04-20 04:26:48,36.7,137.3667,73.99,33,20,16.11,[{'description': 'few clouds'}]
105,Muros,ES,2021-04-20 04:22:41,42.7762,-9.0603,55.99,85,100,4.94,[{'description': 'overcast clouds'}]
106,Ahipara,NZ,2021-04-20 04:23:54,-35.1667,173.1667,65.17,93,98,12.75,[{'description': 'overcast clouds'}]
107,Grand Gaube,MU,2021-04-20 04:23:46,-20.0064,57.6608,81.0,78,51,3.0,[{'description': 'broken clouds'}]
108,Cabo San Lucas,MX,2021-04-20 04:19:34,22.8909,-109.9124,72.0,87,98,6.2,[{'description': 'overcast clouds'}]
109,Skjervoy,NO,2021-04-20 04:26:49,70.0311,20.9714,46.4,57,0,18.41,[{'description': 'clear sky'}]
110,Coihueco,CL,2021-04-20 04:26:49,-36.6167,-71.8333,57.2,82,75,5.75,[{'description': 'broken clouds'}]
111,Aktas,KZ,2021-04-20 04:26:49,49.7789,72.9608,26.6,36,0,22.37,[{'description': 'clear sky'}]
112,Buala,SB,2021-04-20 04:26:50,-8.145,159.5921,85.42,72,77,7.2,[{'description': 'light rain'}]
113,Silver City,US,2021-04-20 04:24:17,32.7701,-108.2803,53.01,24,1,8.61,[{'description': 'clear sky'}]
114,Basco,PH,2021-04-20 04:22:07,20.4487,121.9702,75.7,75,96,29.06,[{'description': 'overcast clouds'}]
115,Kutum,SD,2021-04-20 04:26:50,14.2,24.6667,72.25,10,11,8.01,[{'description': 'few clouds'}]
116,Kieta,PG,2021-04-20 04:22:09,-6.2167,155.6333,85.44,74,52,4.54,[{'description': 'light rain'}]
117,Khabary,RU,2021-04-20 04:26:50,53.6259,79.5345,24.48,37,32,10.49,[{'description': 'scattered clouds'}]
118,East London,ZA,2021-04-20 04:22:39,-33.0153,27.9116,59.0,94,75,3.44,[{'description': 'light rain'}]
119,Fortuna,US,2021-04-20 04:22:22,40.5982,-124.1573,48.99,100,75,6.91,[{'description': 'broken clouds'}]
120,Ostrovnoy,RU,2021-04-20 04:21:14,68.0531,39.5131,36.59,86,29,15.17,[{'description': 'scattered clouds'}]
121,Bijie,CN,2021-04-20 04:26:24,27.3125,105.2942,52.88,93,100,4.74,[{'description': 'overcast clouds'}]
122,Tuatapere,NZ,2021-04-20 04:26:51,-46.1333,167.6833,64.99,59,28,5.01,[{'description': 'scattered clouds'}]
123,Presque Isle,US,2021-04-20 04:26:51,46.6811,-68.0159,46.99,70,90,0.6,[{'description': 'overcast clouds'}]
124,Bethel,US,2021-04-20 04:19:56,41.3712,-73.414,46.99,81,1,1.83,[{'description': 'clear sky'}]
125,Kushima,JP,2021-04-20 04:26:52,31.4583,131.2333,68.0,40,0,11.5,[{'description': 'volcanic ash'}]
126,Nerang,AU,2021-04-20 04:26:52,-27.9833,153.3333,80.01,52,0,5.01,[{'description': 'clear sky'}]
127,Milkovo,RU,2021-04-20 04:26:52,54.7167,158.6167,39.09,87,100,2.21,[{'description': 'overcast clouds'}]
128,Altay,CN,2021-04-20 04:22:40,47.8667,88.1167,45.34,87,100,2.04,[{'description': 'light rain'}]
129,Bilibino,RU,2021-04-20 04:22:23,68.0546,166.4372,30.61,77,99,3.56,[{'description': 'overcast clouds'}]
