City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Erenhot,CN,2021-04-14 18:49:46,43.6475,111.9767,50.52,27,100,25.08
167,Jalu,LY,2021-04-14 18:49:46,29.0331,21.5482,76.73,23,5,14.34
168,Glenluce,GB,2021-04-14 18:49:47,54.8798,-4.8084,48.0,80,69,2.42
169,Gerash,IR,2021-04-14 18:49:47,27.6652,54.1371,78.8,31,0,4.61
170,Zimovniki,RU,2021-04-14 18:49:47,47.1483,42.4633,50.94,89,100,6.71
171,Jambi,ID,2021-04-14 18:49:48,-1.6,103.6167,73.92,97,100,0.85
172,Petropavlovsk-Kamchatskiy,RU,2021-04-14 18:49:48,53.0452,158.6483,39.2,100,90,8.95
173,Manaure,CO,2021-04-14 18:49:48,11.7751,-72.4445,83.46,73,98,14.94
174,Katsuura,JP,2021-04-14 18:47:24,35.1333,140.3,48.99,63,96,23.64
175,Beterou,BJ,2021-04-14 18:49:49,9.1992,2.2586,90.77,27,92,4.99
176,Aklavik,CA,2021-04-14 18:49:49,68.2191,-135.0107,23.0,58,40,3.44
177,Lebu,CL,2021-04-14 18:48:09,-37.6167,-73.65,62.02,80,29,7.23
178,Malakal,SS,2021-04-14 18:49:50,9.5334,31.6605,90.03,8,0,4.7
179,Juan Lacaze,UY,2021-04-14 18:49:50,-34.4342,-57.4381,75.2,43,20,5.75
180,Andenes,NO,2021-04-14 18:49:50,69.3143,16.1194,33.01,100,75,21.85
181,Torbay,CA,2021-04-14 18:48:14,47.6666,-52.7314,36.0,93,90,14.97
182,Vostok,RU,2021-04-14 18:49:51,46.4856,135.8833,22.17,63,96,9.91
183,Wanaka,NZ,2021-04-14 18:49:51,-44.7,169.15,53.01,83,68,1.99
184,Hofn,IS,2021-04-14 18:49:51,64.2539,-15.2082,48.2,81,40,14.97
185,Catuday,PH,2021-04-14 18:49:52,16.2923,119.8062,79.07,68,100,2.37
186,Muroto,JP,2021-04-14 18:49:52,33.2833,134.15,52.03,55,18,12.5
187,Serra,BR,2021-04-14 18:46:32,-20.1286,-40.3078,82.0,61,40,17.27
188,Quang Ngai,VN,2021-04-14 18:49:52,15.1167,108.8,71.73,92,100,3.38
189,Aden,YE,2021-04-14 18:45:56,12.7794,45.0367,81.12,73,8,14.61
190,Alamogordo,US,2021-04-14 18:49:53,32.8995,-105.9603,75.99,23,1,12.66
191,Acapulco,MX,2021-04-14 18:49:53,16.8634,-99.8901,84.2,74,90,9.22
192,Chama,CH,2021-04-14 18:49:53,47.1821,8.4636,41.0,52,75,2.3
193,Funadhoo,MV,2021-04-14 18:49:54,6.15,73.2667,83.93,67,46,2.44
194,Saldanha,ZA,2021-04-14 18:49:54,-33.0117,17.9442,73.4,43,84,6.91
195,San Benito Abad,CO,2021-04-14 18:49:54,8.929,-75.0271,90.61,58,99,2.19
196,Gigmoto,PH,2021-04-14 18:49:55,13.7796,124.39,78.08,88,100,5.86
197,Wadowice,PL,2021-04-14 18:49:55,49.8834,19.4929,41.0,81,75,9.22
198,Saskylakh,RU,2021-04-14 18:46:36,71.9167,114.0833,-0.83,99,97,4.54
199,Itaituba,BR,2021-04-14 18:49:55,-4.2761,-55.9836,93.2,55,20,11.5
200,Constitucion,CL,2021-04-14 18:48:08,-35.3333,-72.4167,66.29,67,23,15.14
201,Warrnambool,AU,2021-04-14 18:49:56,-38.3833,142.4833,53.01,90,100,1.99
202,Kargopol,RU,2021-04-14 18:49:56,61.5071,38.9456,37.02,96,100,3.89
203,Mackenzie,CA,2021-04-14 18:49:56,55.2999,-123.1698,42.8,42,1,2.3
204,Biltine,TD,2021-04-14 18:49:57,14.5333,20.9167,84.74,7,6,11.45
205,Vardo,NO,2021-04-14 18:49:57,70.3705,31.1107,28.4,80,20,12.66
206,Inta,RU,2021-04-14 18:49:57,66.0317,60.1659,38.98,99,100,18.03
207,Portland,US,2021-04-14 18:46:41,45.5234,-122.6762,64.0,29,1,6.91
208,Listowel,IE,2021-04-14 18:49:58,52.4464,-9.485,53.6,54,20,8.05
209,Aguimes,ES,2021-04-14 18:49:08,27.9054,-15.4461,71.6,64,75,17.27
210,Makakilo City,US,2021-04-14 18:49:59,21.3469,-158.0858,75.99,64,1,5.75
211,Samoded,RU,2021-04-14 18:49:59,63.6083,40.5111,34.16,81,68,7.29
212,Whitianga,NZ,2021-04-14 18:50:00,-36.8333,175.7,52.0,97,16,7.38
213,Kenai,US,2021-04-14 18:46:04,60.5544,-151.2583,39.0,75,90,18.41
214,La Palma,US,2021-04-14 18:50:00,33.8464,-118.0467,64.99,59,75,10.36
215,Omboue,GA,2021-04-14 18:50:00,-1.5746,9.2618,76.84,91,99,7.61
216,Bridlington,GB,2021-04-14 18:50:01,54.0831,-0.1919,44.6,53,12,11.5
217,Ribeira Grande,PT,2021-04-14 18:50:01,38.5167,-28.7,64.4,88,40,9.22
218,Faanui,PF,2021-04-14 18:50:01,-16.4833,-151.75,81.28,74,100,12.33
