City_ID,City,Country,Max Temp,Current Description ,Lat,Lng,Hotel Name
368,Phan Thiet,VN,87.22,overcast clouds,10.9333,108.1,Hotel Saigon-PT
371,Manggar,ID,85.91,clear sky,-2.8833,108.2667,Guest Hotel
373,Umm Kaddadah,SD,76.3,scattered clouds,13.6017,26.6876,
376,Port Blair,IN,86.0,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
377,Manta,EC,77.0,overcast clouds,-0.95,-80.7333,Balandra Hotel
380,Bandar,ID,87.69,broken clouds,2.05,99.75,
383,Gizo,SB,85.35,light rain,-8.103,156.8419,Imagination Island
385,Numan,NG,85.41,overcast clouds,9.4667,12.0333,Zangun Motel
388,Salinopolis,BR,75.43,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
391,Charters Towers,AU,75.85,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
397,Vaitape,PF,82.81,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
400,Gorom-Gorom,BF,84.25,clear sky,14.4439,-0.2361,
404,Lagos,NG,78.8,few clouds,6.5833,3.75,
406,Georgetown,MY,86.0,scattered clouds,5.4112,100.3354,Cititel Penang
409,Teknaf,BD,84.79,broken clouds,20.8624,92.3058,Forestry Guesthouse
412,Dutse,NG,78.53,broken clouds,11.7594,9.3392,Central Mosque Galamawa
417,Atar,MR,75.74,overcast clouds,20.5169,-13.0499,Oumou Elghoura
419,Suba,PH,83.34,overcast clouds,10.8438,121.0102,Casita Bed and Grill
435,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
436,Kupang,ID,83.07,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
438,Sokolo,ML,85.1,few clouds,14.7328,-6.1219,
441,Cairns,AU,79.0,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
443,Quatre Cocos,MU,81.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
446,Hoa Binh,VN,87.8,scattered clouds,20.8133,105.3383,Hoa Dao Hotel
461,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
462,Hirara,JP,77.0,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
464,Haapiti,PF,82.4,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
466,Botou,CN,78.26,overcast clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
468,Catia La Mar,VE,77.0,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
470,Robertsport,LR,81.16,few clouds,6.7533,-11.3686,Kwepunha Retreat
472,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
474,Tambacounda,SN,84.2,scattered clouds,13.7539,-13.7586,
477,Thenzawl,IN,82.4,haze,23.3167,92.75,LH.Ngaihzuala Garden
483,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
484,Karaton,ID,87.8,haze,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
485,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
495,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
500,San Andres,CO,80.6,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
504,Puerto Baquerizo Moreno,EC,75.72,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
505,Tual,ID,79.97,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
511,Makakilo City,US,80.01,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
512,Mareeba,AU,79.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
515,Port Macquarie,AU,80.01,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
517,Tanete,ID,89.62,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
518,Boyolangu,ID,84.38,broken clouds,-8.1181,111.8935,Yos ega cv
520,Belmonte,BR,75.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
524,Jose De Freitas,BR,75.2,light rain,-4.7564,-42.5756,Sitio Soares
526,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Camp Pālehua
527,Beaufort,MY,87.8,few clouds,5.3473,115.7455,The Gem Hotel Beaufort
529,San Juan,AR,75.09,clear sky,-31.5375,-68.5364,Hotel Provincial
532,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
534,Bahia Honda,CU,76.6,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
536,Merauke,ID,84.18,overcast clouds,-8.4667,140.3333,
540,Lafia,NG,81.19,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
541,Ati,TD,81.46,clear sky,13.2154,18.3353,
547,Bilma,NE,82.56,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
549,Junnar,IN,84.81,broken clouds,19.2,73.8833,Hotel Anand
550,Keti Bandar,PK,85.71,broken clouds,24.1447,67.4497,Haji laloo memon house
551,Yeppoon,AU,84.2,scattered clouds,-23.1333,150.7333,Villa Mar Colina
555,Omboue,GA,75.67,overcast clouds,-1.5746,9.2618,Hotel Olako
557,Bubaque,GW,78.04,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
560,Sibolga,ID,86.49,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
566,Namibe,AO,80.71,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
570,Colombia,CU,78.8,few clouds,20.9881,-77.4297,Casa Lazara y Pupi
574,Yangcun,CN,82.99,clear sky,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
579,Manaus,BR,77.0,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
582,Pochutla,MX,79.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
584,Mayumba,GA,75.63,overcast clouds,-3.432,10.6554,LIKWALE LODGE
587,Changping,CN,78.8,clear sky,40.2186,116.2197,Huachang Hotel
588,Hervey Bay,AU,78.8,broken clouds,-25.2986,152.8535,Shelly Bay Resort
593,Samrala,IN,90.0,overcast clouds,30.8367,76.1897,सनील कुमार
595,Payo,ID,85.41,few clouds,-3.7508,103.6372,Mess keban agung
602,Ewa Beach,US,80.01,clear sky,21.3156,-158.0072,Uncle Junior Robert
605,Nabire,ID,78.82,heavy intensity rain,-3.3667,135.4833,Hotel Nusantara Nabire
607,Daru,PG,85.42,broken clouds,-9.0763,143.2092,Daru Lodge
612,Tabas,IR,76.87,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
629,Tadine,NC,78.37,broken clouds,-21.55,167.8833,
635,Santa Cruz Cabralia,BR,75.2,overcast clouds,-16.2781,-39.0247,Portobali Hotel
636,Taoudenni,ML,76.77,clear sky,22.6783,-3.9836,
642,Lorengau,PG,83.12,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
644,Moindou,NC,78.8,overcast clouds,-21.6924,165.677,Gite de la RYAWA
645,Voh,NC,79.34,broken clouds,-20.9667,164.7,Le gîte du Koniambo
648,Shima,CN,80.6,few clouds,24.4478,117.8111,龙海钻石大酒店
651,Baghdad,IQ,77.0,clear sky,33.3406,44.4009,Baghdad Hotel
